"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2006M08",4.52119711e+01,3.24352954e-01,7.00000000e+00,4.95994937e+00,7.58000000e+00,5.00000000e+00,2.26052900e+04,1.43092606e+04,3.42162800e+04,7.19440800e+04,4.19357345e+04,7.76271220e+01,3.32900000e+02,9.78800000e+01,5.31000000e+00,2.06800000e+02,2.03800000e+02,8.51250000e+01,8.44400000e+01,7.30430435e+01,3.81136190e+02,2.02551320e+02,1.00259392e+03,9.56866220e+02,1.04404568e+03,1.11836444e+03,1.06438936e+03,4.35191688e+02,5.80784214e+02,4.58362091e+02,5.33175214e+02,5.31713912e+02,4.44412076e+02,4.43604122e+02,4.29104890e+02,6.76223599e+00,-1.31839175e-01,2.13679201e+01,1.47469506e+01,1.70082159e+01,1.61978917e+01,2.48622575e+01,6.10173412e+00,3.19317727e+01,3.03918013e+00,2.79498459e+00,3.85143876e+00,3.28144927e+00,2.63629433e+00,1.16889085e+01,3.88593678e+00,0.00000000e+00,3.58141775e+01,-1.08802601e+01,-1.36253035e+01,1.28742603e+01,2.49312006e+01,-3.84449783e+00,1.13327312e+02,2.70021593e+00,2.90486707e+00,5.31104875e+00,3.76979184e+00,2.44683206e+00,-2.22667003e+01,4.37212775e+02,4.37498754e+02,-2.85978889e-01,4.58187180e+02,1.74910140e-01,4.35842976e+02,1.36979909e+00,4.57632872e+02,7.29218516e-01
"2006M09",4.50419340e+01,-3.76088690e-01,5.70000000e+00,4.56181016e+00,7.61000000e+00,5.00000000e+00,2.18466000e+04,1.42479377e+04,3.47009000e+04,7.24537000e+04,4.26131775e+04,7.72933053e+01,2.93000000e+02,9.81400000e+01,5.34000000e+00,2.07200000e+02,2.02800000e+02,8.49020000e+01,8.45730000e+01,6.37980000e+01,3.80759392e+02,2.02946317e+02,9.99180058e+02,9.56436745e+02,1.04545209e+03,1.11907030e+03,1.06599188e+03,4.34760735e+02,5.68017261e+02,4.58643344e+02,5.33368451e+02,5.31222027e+02,4.44149765e+02,4.43761507e+02,4.15572184e+02,5.54184807e+00,-1.31319782e-01,1.64735216e+01,1.31211581e+01,1.83990340e+01,1.57854143e+01,2.53098642e+01,7.66127190e+00,1.92889143e+01,3.13609142e+00,2.88881777e+00,1.99209775e+00,2.05868974e+00,2.57262778e+00,-2.76505814e+00,-4.52157218e+00,4.73996666e+00,-4.09663760e+01,-5.15370005e+00,1.68768828e+01,8.47030389e+00,1.92302651e+01,-5.17143681e+00,-1.53203443e+02,3.18335050e+00,2.31884130e+00,-5.90261889e+00,-3.14773716e+00,1.88861251e+00,-1.62392475e+02,4.38918772e+02,4.37906411e+02,1.01236061e+00,4.58377090e+02,2.66253758e-01,4.35431396e+02,3.48737605e+00,4.57977931e+02,6.65412679e-01
"2006M10",4.50329847e+01,-1.98688630e-02,3.85000000e+00,3.86010650e+00,7.61000000e+00,5.00000000e+00,2.46764000e+04,1.53023674e+04,3.47673000e+04,7.28358000e+04,4.38882231e+04,7.74464242e+01,3.38400000e+02,9.83100000e+01,5.31000000e+00,2.07600000e+02,2.01900000e+02,8.47020000e+01,8.47260000e+01,5.88931818e+01,3.80739521e+02,2.02946317e+02,1.01136026e+03,9.63576283e+02,1.04564326e+03,1.11959629e+03,1.06894013e+03,4.34958640e+02,5.82422863e+02,4.58816715e+02,5.33561315e+02,5.30777253e+02,4.43913921e+02,4.43942252e+02,4.07572533e+02,3.78014769e+00,-9.15637529e-01,2.37177967e+01,1.82390008e+01,1.48283564e+01,1.52709891e+01,2.54380022e+01,9.65701679e+00,1.95888348e+01,3.07811949e+00,2.73454539e+00,1.39653142e+00,1.66306427e+00,2.46625160e+00,-5.55938396e+00,-2.38450041e-01,0.00000000e+00,1.46162422e+02,8.56744549e+01,2.29399997e+00,6.31182649e+00,3.53789776e+01,2.37486092e+00,1.72867222e+02,2.07686486e+00,2.31436909e+00,-5.33729568e+00,-2.83012324e+00,2.16894429e+00,-9.59958198e+01,4.38436007e+02,4.38311893e+02,1.24113909e-01,4.58558728e+02,2.57987564e-01,4.36046414e+02,2.38959255e+00,4.58233094e+02,5.83621021e-01
"2006M11",4.52895319e+01,5.69687334e-01,4.40000000e+00,3.73607494e+00,7.61000000e+00,5.00000000e+00,2.28661000e+04,1.53825839e+04,3.60657611e+04,7.41302000e+04,4.47640566e+04,8.08940630e+01,2.94700000e+02,9.84900000e+01,5.31000000e+00,2.07800000e+02,2.02000000e+02,8.47310000e+01,8.47660000e+01,5.90825000e+01,3.81307592e+02,2.02946317e+02,1.00374107e+03,9.64099123e+02,1.04930992e+03,1.12135783e+03,1.07091608e+03,4.39314043e+02,5.68595789e+02,4.58976203e+02,5.33657608e+02,5.30826770e+02,4.43948153e+02,4.43989452e+02,4.07893477e+02,4.30695014e+00,0.00000000e+00,1.80621794e+01,1.68148144e+01,1.61661286e+01,1.50554260e+01,2.43666025e+01,8.44422760e+00,1.03966472e+01,2.95730170e+00,2.58361921e+00,1.94957437e+00,1.90638555e+00,2.25852035e+00,1.29468185e+00,6.81684903e+00,0.00000000e+00,-9.14302283e+01,6.27408336e+00,4.40000137e+01,2.11384969e+01,2.37113901e+01,5.22648451e+01,-1.65924886e+02,2.19512256e+00,1.15551285e+00,5.94206499e-01,4.10781847e-01,5.66398425e-01,3.85133627e+00,4.39184712e+02,4.38714259e+02,4.70452824e-01,4.58731620e+02,2.44582278e-01,4.38732370e+02,4.52342643e-01,4.58623150e+02,3.53052779e-01
"2006M12",4.58742209e+01,1.29100250e+00,5.79000000e+00,3.98616039e+00,7.60000000e+00,5.00000000e+00,2.55377000e+04,1.57719819e+04,3.87397000e+04,7.80306000e+04,4.57336709e+04,8.66631306e+01,2.99300000e+02,9.87800000e+01,5.17000000e+00,2.08100000e+02,2.03100000e+02,8.50320000e+01,8.48800000e+01,6.19590000e+01,3.82590332e+02,2.02814825e+02,1.01479111e+03,9.66599035e+02,1.05646202e+03,1.12648563e+03,1.07305901e+03,4.46202854e+02,5.70144641e+02,4.59303799e+02,5.33801873e+02,5.31369847e+02,4.44302766e+02,4.44123849e+02,4.12647288e+02,5.63095854e+00,-1.31492458e-01,1.88870559e+01,1.00643421e+01,1.65942618e+01,1.66785927e+01,2.37969553e+01,4.88113676e+00,9.71160192e+00,2.97977455e+00,2.57984617e+00,2.49265149e+00,2.26099794e+00,2.28919845e+00,4.19782529e+00,1.53928812e+01,-1.57790950e+00,1.32600393e+02,2.99989367e+01,8.58251353e+01,6.15336610e+01,2.57151565e+01,8.26657285e+01,1.85862301e+01,3.52816192e+00,1.73118568e+00,6.51692542e+00,4.25534867e+00,1.61277036e+00,5.70457244e+01,4.39918489e+02,4.39112579e+02,8.05909966e-01,4.58895314e+02,4.08485740e-01,4.36383508e+02,3.53498083e+00,4.58837309e+02,4.66490384e-01
"2007M01",4.64797916e+01,1.32006763e+00,6.22000000e+00,4.04000000e+00,7.68000000e+00,5.00000000e+00,2.50845000e+04,1.64103806e+04,3.92986000e+04,7.62576700e+04,4.58738219e+04,8.33276233e+01,2.87100000e+02,9.89700000e+01,5.33000000e+00,2.08600000e+02,2.03437000e+02,8.53160000e+01,8.52240000e+01,5.45061905e+01,3.83901763e+02,2.03861955e+02,1.01300054e+03,9.70566938e+02,1.05789442e+03,1.12418733e+03,1.07336499e+03,4.42278011e+02,5.65983059e+02,4.59483534e+02,5.34041854e+02,5.31535637e+02,4.44636201e+02,4.44528308e+02,3.99831428e+02,6.03839729e+00,7.84317746e-01,1.70354933e+01,1.84969988e+01,1.84287935e+01,1.44314785e+01,2.30537481e+01,5.98969927e+00,1.42779378e+01,2.82834715e+00,2.62278269e+00,2.05451474e+00,2.11082756e+00,2.46970128e+00,-1.83506827e+01,1.57371679e+01,1.25655598e+01,-2.14867995e+01,4.76148392e+01,1.71887770e+01,-2.75796682e+01,3.67178086e+00,-4.70981219e+01,-4.99389933e+01,2.30594256e+00,2.87977100e+00,1.98948727e+00,4.00122474e+00,4.85350800e+00,-1.53790313e+02,4.40619646e+02,4.39505953e+02,1.11369241e+00,4.59049370e+02,4.34164245e-01,4.37423326e+02,3.19631938e+00,4.59112508e+02,3.71026531e-01
"2007M02",4.66408794e+01,3.46575951e-01,6.62000000e+00,4.32000000e+00,7.70000000e+00,5.00000000e+00,2.53505000e+04,1.78427387e+04,3.98521000e+04,7.63966000e+04,4.62971501e+04,8.30347282e+01,2.71900000e+02,9.92100000e+01,5.41000000e+00,2.09135000e+02,2.04226000e+02,8.55810000e+01,8.54080000e+01,5.92789474e+01,3.84247740e+02,2.04122033e+02,1.01405537e+03,9.78935191e+02,1.05929304e+03,1.12436935e+03,1.07428357e+03,4.41925893e+02,5.60543435e+02,4.59727512e+02,5.34297998e+02,5.31922722e+02,4.44946330e+02,4.44743977e+02,4.08225422e+02,6.41164802e+00,1.17571570e+00,1.91958980e+01,2.58036682e+01,1.87055204e+01,1.33945483e+01,2.18655927e+01,6.84350406e+00,6.49554279e+00,2.82140763e+00,2.68226918e+00,2.39143662e+00,2.36111817e+00,2.52433567e+00,-3.89116207e+00,4.15172113e+00,3.12093804e+00,1.26579938e+01,1.00419033e+02,1.67834480e+01,2.18423037e+00,1.10229368e+01,-4.22540908e+00,-6.52754826e+01,2.90645010e+00,3.07372067e+00,4.64501896e+00,3.72154286e+00,2.58802670e+00,1.00727930e+02,4.41584043e+02,4.39893539e+02,1.69050360e+00,4.59193380e+02,5.34131718e-01,4.39187050e+02,2.39699277e+00,4.59285513e+02,4.41999497e-01
"2007M03",4.70435989e+01,8.63447420e-01,7.02000000e+00,4.51000000e+00,7.69000000e+00,5.02272727e+00,2.54953000e+04,1.77955237e+04,4.07049000e+04,7.73389000e+04,4.69318065e+04,8.82676477e+01,3.27600000e+02,9.95100000e+01,5.30000000e+00,2.09418000e+02,2.05288000e+02,8.58940000e+01,8.54940000e+01,6.04418182e+01,3.85107481e+02,2.03992078e+02,1.01462494e+03,9.78670223e+02,1.06141038e+03,1.12559523e+03,1.07564509e+03,4.48037365e+02,5.79179335e+02,4.60062873e+02,5.34433225e+02,5.32441387e+02,4.45311398e+02,4.44844620e+02,4.10168122e+02,6.78837849e+00,9.14441382e-01,1.88704627e+01,2.39809205e+01,1.99362673e+01,1.31726318e+01,2.09518140e+01,5.35035217e+00,1.25366664e+01,2.76111473e+00,2.47427528e+00,2.75976308e+00,2.53255695e+00,2.34917876e+00,-3.64444332e+00,1.03168924e+01,-1.55945441e+00,6.83480129e+00,-3.17961412e+00,2.54080522e+01,1.47106447e+01,1.63382606e+01,7.33376608e+01,2.23630800e+02,3.62319116e+00,1.62273381e+00,6.22397699e+00,4.38081840e+00,1.20770978e+00,2.33123945e+01,4.42446281e+02,4.40274572e+02,2.17170904e+00,4.59326966e+02,7.35907016e-01,4.37902004e+02,4.54427677e+00,4.59472803e+02,5.90069768e-01
"2007M04",4.71539738e+01,2.34622696e-01,6.40000000e+00,4.48000000e+00,7.66000000e+00,5.28571429e+00,2.48335000e+04,1.74164897e+04,3.97236400e+04,7.64010800e+04,4.74075142e+04,8.22944514e+01,3.33600000e+02,9.96700000e+01,5.29000000e+00,2.09747000e+02,2.05904000e+02,8.60960000e+01,8.56160000e+01,6.39770000e+01,3.85341829e+02,2.03601198e+02,1.01199488e+03,9.76517272e+02,1.05897018e+03,1.12437521e+03,1.07665360e+03,4.41030369e+02,5.80994267e+02,4.60163654e+02,5.34590204e+02,5.32741004e+02,4.45546295e+02,4.44987218e+02,4.15852364e+02,6.20490559e+00,9.18039234e-01,1.43241018e+01,2.09423554e+01,1.74882767e+01,1.16601663e+01,1.98623817e+01,6.95650032e+00,1.59560973e+01,2.65353850e+00,2.38681493e+00,2.55987849e+00,2.30403011e+00,2.18688607e+00,-8.19924812e+00,2.81217464e+00,-4.69055972e+00,-3.15606880e+01,-2.58354067e+01,-2.92824022e+01,-1.46402772e+01,1.21021442e+01,-8.40839557e+01,2.17791822e+01,1.92790482e+00,1.88374545e+00,3.59540338e+00,2.81876983e+00,1.71118023e+00,6.82109093e+01,4.39115895e+02,4.40648403e+02,-1.53250867e+00,4.59449785e+02,7.13869279e-01,4.39348830e+02,-2.32935462e-01,4.59677084e+02,4.86570137e-01
"2007M05",4.70316664e+01,-2.59378776e-01,5.47000000e+00,4.28000000e+00,7.64000000e+00,5.50000000e+00,2.53587000e+04,1.74541811e+04,3.98647000e+04,7.71090000e+04,4.82310400e+04,8.23727895e+01,3.92900000e+02,9.99400000e+01,5.28000000e+00,2.10058000e+02,2.06755000e+02,8.63460000e+01,8.57170000e+01,6.34545454e+01,3.85082113e+02,2.03339760e+02,1.01408771e+03,9.76733450e+02,1.05932465e+03,1.12529753e+03,1.07837581e+03,4.41125516e+02,5.97355513e+02,4.60456534e+02,5.34738368e+02,5.33153452e+02,4.45836248e+02,4.45105117e+02,4.15032383e+02,5.32113145e+00,7.88440352e-01,1.40893753e+01,2.16927070e+01,1.71367020e+01,1.07076732e+01,1.92354079e+01,6.92548263e+00,8.35697484e+00,2.67710167e+00,2.24243856e+00,2.67381848e+00,2.32572709e+00,2.05439452e+00,-1.10157730e+01,-3.11658894e+00,-3.13725669e+00,2.51139820e+01,2.59413430e+00,4.25369287e+00,1.10678077e+01,2.06664649e+01,1.14176598e+00,1.96334947e+02,3.24633232e+00,1.77796867e+00,4.94937199e+00,3.47943320e+00,1.41478891e+00,-9.83977665e+00,4.42281998e+02,4.41014536e+02,1.26746220e+00,4.59561546e+02,8.94988186e-01,4.40566563e+02,1.71543483e+00,4.59963936e+02,4.92598886e-01
"2007M06",4.72434670e+01,4.50336180e-01,5.31000000e+00,4.30000000e+00,7.68000000e+00,5.50000000e+00,2.61724000e+04,1.76391796e+04,4.00104000e+04,7.78234000e+04,4.93412776e+04,8.10417065e+01,3.56500000e+02,1.00000000e+02,5.31000000e+00,2.10392000e+02,2.07234000e+02,8.65290000e+01,8.58590000e+01,6.74890476e+01,3.85531438e+02,2.03861955e+02,1.01724607e+03,9.77787782e+02,1.05968947e+03,1.12621974e+03,1.08065163e+03,4.39496392e+02,5.87633424e+02,4.60521275e+02,5.34897246e+02,5.33384859e+02,4.46047962e+02,4.45270642e+02,4.21196533e+02,5.17686436e+00,9.15637529e-01,1.77123493e+01,2.08999550e+01,1.64993110e+01,1.01713034e+01,1.95805493e+01,7.36963888e+00,1.39439414e+01,2.55229572e+00,2.15818433e+00,2.65714817e+00,2.29118487e+00,1.96777792e+00,-5.00228894e+00,5.39190241e+00,6.26633278e+00,3.79002648e+01,1.26519852e+01,4.37783975e+00,1.10665823e+01,2.73098491e+01,-1.95494883e+01,-1.16665064e+02,7.20216086e-01,1.90652912e+00,2.77688662e+00,2.54056494e+00,1.98629224e+00,7.39697968e+01,4.43270102e+02,4.41372367e+02,1.89773482e+00,4.59662009e+02,8.59266459e-01,4.40710398e+02,2.55970370e+00,4.60147667e+02,3.73608199e-01
"2007M07",4.75835413e+01,7.19833304e-01,5.59000000e+00,4.46000000e+00,7.68000000e+00,5.50000000e+00,2.67507000e+04,1.77451120e+04,4.07077000e+04,7.84112000e+04,4.97969841e+04,8.30592290e+01,3.81200000e+02,1.00110000e+02,5.28000000e+00,2.10773000e+02,2.07603000e+02,8.66610000e+01,8.59880000e+01,7.41176191e+01,3.86248693e+02,2.03861955e+02,1.01943159e+03,9.78386538e+02,1.06141725e+03,1.12697221e+03,1.08157097e+03,4.41955396e+02,5.94332417e+02,4.60625730e+02,5.35078172e+02,5.33562760e+02,4.46200396e+02,4.45420775e+02,4.30565328e+02,5.43633107e+00,1.31063475e+00,1.98221839e+01,2.06136291e+01,1.62361290e+01,9.68061740e+00,1.92592107e+01,6.44333318e+00,2.29921454e+01,2.47775228e+00,2.14503049e+00,2.29143552e+00,2.10246843e+00,2.02055554e+00,-3.95120967e-01,8.60705845e+00,0.00000000e+00,2.62262650e+01,7.18506332e+00,2.07334121e+01,9.02954055e+00,1.10321021e+01,2.95080465e+01,8.03879183e+01,1.31927453e+00,2.17112117e+00,2.13481496e+00,1.82920527e+00,1.80160293e+00,1.12425541e+02,4.43321234e+02,4.41721380e+02,1.59985459e+00,4.59750994e+02,8.74736348e-01,4.41198634e+02,2.12260065e+00,4.60310738e+02,3.14992412e-01
"2007M08",4.80190749e+01,9.15303104e-01,6.21000000e+00,4.86000000e+00,7.66000000e+00,5.50000000e+00,2.59276000e+04,1.75018626e+04,4.08163000e+04,7.93882000e+04,5.05850922e+04,8.27030350e+01,3.81400000e+02,1.00280000e+02,4.96000000e+00,2.11119000e+02,2.07667000e+02,8.67200000e+01,8.61160000e+01,7.23560870e+01,3.87159833e+02,2.03601198e+02,1.01630633e+03,9.77006259e+02,1.06168368e+03,1.12821050e+03,1.08314122e+03,4.41525630e+02,5.94384869e+02,4.60783138e+02,5.35242196e+02,5.33593584e+02,4.46268454e+02,4.45569522e+02,4.28159958e+02,6.02364259e+00,1.04987841e+00,1.37124089e+01,2.01400385e+01,1.76379957e+01,9.84605920e+00,1.87518595e+01,6.33394243e+00,1.36006549e+01,2.42240347e+00,2.06698129e+00,1.87967145e+00,1.85637732e+00,1.96540016e+00,-9.44932242e-01,1.09336751e+01,-3.12907609e+00,-3.75031234e+01,-1.65633472e+01,3.19709723e+00,1.48595620e+01,1.88429865e+01,-5.15718682e+00,6.29425664e-01,2.03603023e+00,1.96827668e+00,3.69879840e-01,8.16698516e-01,1.78496756e+00,-2.88644356e+01,4.43651668e+02,4.42061191e+02,1.59047687e+00,4.59828382e+02,9.54756534e-01,4.42233093e+02,1.41857520e+00,4.60627420e+02,1.55718555e-01
"2007M09",4.83442336e+01,6.77144824e-01,7.33000000e+00,5.11000000e+00,7.70000000e+00,5.52500000e+00,2.63725000e+04,1.76382685e+04,4.12580700e+04,8.02643000e+04,5.11464671e+04,8.05989703e+01,3.26800000e+02,1.00380000e+02,4.58000000e+00,2.11554000e+02,2.08547000e+02,8.70540000e+01,8.63510000e+01,7.99147368e+01,3.87834695e+02,2.04122033e+02,1.01800771e+03,9.77782617e+02,1.06276020e+03,1.12930802e+03,1.08424487e+03,4.38948587e+02,5.78934836e+02,4.60893339e+02,5.35448029e+02,5.34016444e+02,4.46652862e+02,4.45842039e+02,4.38096028e+02,7.07530277e+00,1.17571570e+00,1.88276498e+01,2.13458719e+01,1.73081107e+01,1.02377202e+01,1.82529883e+01,4.18785287e+00,1.09175754e+01,2.25679536e+00,2.07957747e+00,2.79441638e+00,2.50309656e+00,2.08053186e+00,2.25238435e+01,8.09834995e+00,6.25001413e+00,2.04165146e+01,9.31629980e+00,1.29182623e+01,1.31702360e+01,1.32438109e+01,-3.09245115e+01,-1.85400396e+02,1.19605312e+00,2.46999541e+00,5.07432029e+00,4.61289368e+00,3.27019284e+00,1.19232834e+02,4.42966558e+02,4.42391529e+02,5.75028678e-01,4.59894114e+02,9.99225302e-01,4.42552173e+02,4.14384366e-01,4.60818134e+02,7.52052542e-02
"2007M10",4.85083045e+01,3.39380476e-01,7.72000000e+00,5.29000000e+00,7.72000000e+00,5.75000000e+00,2.65419000e+04,1.80449004e+04,4.09582300e+04,8.06962000e+04,5.20432895e+04,8.11161281e+01,3.91200000e+02,1.00530000e+02,4.60000000e+00,2.12077000e+02,2.09190000e+02,8.73180000e+01,8.65760000e+01,8.57986956e+01,3.88173501e+02,2.04381436e+02,1.01864799e+03,9.80061840e+02,1.06203080e+03,1.12984468e+03,1.08598311e+03,4.39588181e+02,5.96921894e+02,4.61046876e+02,5.35694942e+02,5.34324293e+02,4.46955663e+02,4.46102264e+02,4.45200380e+02,7.43397949e+00,1.43511922e+00,7.28772951e+00,1.64855566e+01,1.63875477e+01,1.02483894e+01,1.70429843e+01,4.62954118e+00,1.44990310e+01,2.23304390e+00,2.13362650e+00,3.54704046e+00,3.04174130e+00,2.16001206e+00,3.76278479e+01,4.06567056e+00,3.11284221e+00,7.68337898e+00,2.73506724e+01,-8.75275572e+00,6.43985629e+00,2.08589295e+01,7.67512058e+00,2.15844690e+02,1.79184743e+00,2.96295747e+00,3.69419328e+00,3.63361368e+00,3.12270672e+00,8.52522328e+01,4.42682833e+02,4.42712230e+02,-2.93971345e-02,4.59948198e+02,1.09867871e+00,4.43398653e+02,-7.15820286e-01,4.61081332e+02,-3.44558555e-02
"2007M11",4.94241183e+01,1.88795278e+00,9.13000000e+00,6.07000000e+00,7.64000000e+00,6.01136364e+00,2.59142000e+04,1.80479093e+04,4.17647000e+04,8.13554000e+04,5.31933385e+04,8.56628754e+01,3.40800000e+02,1.00690000e+02,4.66000000e+00,2.12660000e+02,2.10834000e+02,8.77810000e+01,8.67460000e+01,9.47723809e+01,3.90043853e+02,2.03339760e+02,1.01625464e+03,9.80078513e+02,1.06398068e+03,1.13065825e+03,1.08816885e+03,4.45041954e+02,5.83129579e+02,4.61174737e+02,5.35969465e+02,5.35107109e+02,4.47484508e+02,4.46298431e+02,4.55147803e+02,8.73626087e+00,3.93443130e-01,1.25135617e+01,1.59793894e+01,1.46707517e+01,9.30042047e+00,1.72527661e+01,5.72791057e+00,1.45337905e+01,2.20914697e+00,2.31185676e+00,4.28033966e+00,3.53635440e+00,2.30897893e+00,4.72543254e+01,2.24442255e+01,-1.25001130e+01,-2.87202425e+01,2.00076195e-01,2.33984619e+01,9.76287014e+00,2.62287717e+01,6.54452778e+01,-1.65507772e+02,1.90835941e+00,3.29427594e+00,9.39379690e+00,6.34613898e+00,2.35400082e+00,1.19369067e+02,4.44784153e+02,4.43023173e+02,1.76098049e+00,4.59990711e+02,1.18402586e+00,4.44229023e+02,5.55130613e-01,4.61404309e+02,-2.29572614e-01
"2007M12",4.98864999e+01,9.35538388e-01,8.75000000e+00,6.42000000e+00,7.63000000e+00,6.28571429e+00,2.84379000e+04,2.00107775e+04,4.44532000e+04,8.44811000e+04,5.52426557e+04,9.01709997e+01,3.37400000e+02,1.00720000e+02,3.06000000e+00,2.13168000e+02,2.11445000e+02,8.79840000e+01,8.69200000e+01,9.16870000e+01,3.90975042e+02,2.03208785e+02,1.02554780e+03,9.90402628e+02,1.07021922e+03,1.13442831e+03,1.09194907e+03,4.50170786e+02,5.82126917e+02,4.61241685e+02,5.36208059e+02,5.35396492e+02,4.47715498e+02,4.46498816e+02,4.51838060e+02,8.38471010e+00,3.93959800e-01,1.07566971e+01,2.38035937e+01,1.37572036e+01,7.94267833e+00,1.88900596e+01,3.96793239e+00,1.19822755e+01,1.94492346e+00,2.40618538e+00,4.02664488e+00,3.41273235e+00,2.37496611e+00,3.91907727e+01,1.11742720e+01,-1.57170946e+00,1.11518018e+02,1.23889389e+02,7.48625583e+01,4.52407553e+01,4.53626775e+01,6.15459903e+01,-1.20319498e+01,3.57479770e-01,2.86312919e+00,3.47258808e+00,2.77188414e+00,2.40461656e+00,-3.97169088e+01,4.43815194e+02,4.43324233e+02,4.90960750e-01,4.60021806e+02,1.21987906e+00,4.42919282e+02,8.95911664e-01,4.61519335e+02,-2.77650042e-01
"2008M01",5.03787126e+01,9.86665071e-01,8.39000000e+00,6.52000000e+00,7.70000000e+00,6.50000000e+00,2.75887000e+04,1.86664426e+04,4.30688000e+04,8.36243000e+04,5.49205650e+04,8.72975117e+01,3.14600000e+02,1.00870000e+02,3.22000000e+00,2.13771000e+02,2.12174000e+02,8.82060000e+01,8.70930000e+01,9.29704762e+01,3.91956872e+02,2.04122033e+02,1.02251615e+03,9.83448268e+02,1.06705541e+03,1.13340894e+03,1.09136431e+03,4.46932196e+02,5.75130199e+02,4.61385395e+02,5.36490535e+02,5.35740669e+02,4.47967499e+02,4.46697651e+02,4.53228198e+02,8.05510875e+00,2.60078170e-01,9.51561431e+00,1.28813301e+01,9.16099422e+00,9.22161471e+00,1.79993244e+01,4.65418530e+00,9.14714035e+00,1.90157852e+00,2.44868060e+00,4.20503181e+00,3.33129777e+00,2.16934289e+00,5.33967700e+01,1.17819518e+01,1.09589803e+01,-3.63797927e+01,-8.34523246e+01,-3.79657360e+01,-1.22324316e+01,-7.01704055e+00,-3.88630869e+01,-8.39606154e+01,1.78580320e+00,3.38971366e+00,4.13013044e+00,3.02400977e+00,2.38602942e+00,1.66816558e+01,4.45662307e+02,4.43615408e+02,2.04689880e+00,4.60041720e+02,1.34367571e+00,4.44325796e+02,1.33651045e+00,4.61815036e+02,-4.29640683e-01
"2008M02",5.07277361e+01,6.92799621e-01,8.76000000e+00,6.75000000e+00,7.72000000e+00,6.50000000e+00,2.69364000e+04,1.84726259e+04,4.26652000e+04,8.37359300e+04,5.54145128e+04,8.63589541e+01,3.18300000e+02,1.01020000e+02,3.01000000e+00,2.13939000e+02,2.12687000e+02,8.83820000e+01,8.71780000e+01,9.53860000e+01,3.92647282e+02,2.04381436e+02,1.02012338e+03,9.82404524e+02,1.06611389e+03,1.13354234e+03,1.09225968e+03,4.45851250e+02,5.76299433e+02,4.61534147e+02,5.36569093e+02,5.35982160e+02,4.48166833e+02,4.46795201e+02,4.55793182e+02,8.39954278e+00,2.59403518e-01,6.06800781e+00,3.46933286e+00,6.82084982e+00,9.17299640e+00,1.79761117e+01,3.92535633e+00,1.57559983e+01,1.80797014e+00,2.27109512e+00,4.05943776e+00,3.22050331e+00,2.05122323e+00,4.75677593e+01,8.28492949e+00,3.11284221e+00,-2.87132842e+01,-1.25249331e+01,-1.12982849e+01,1.60081066e+00,1.07443845e+01,-1.29713568e+01,1.40308124e+01,1.78314957e+00,9.42694865e-01,2.89789036e+00,2.39200931e+00,1.17059072e+00,3.07798017e+01,4.45923749e+02,4.43896730e+02,2.02701913e+00,4.60050771e+02,1.48337534e+00,4.45556378e+02,3.67371227e-01,4.61853687e+02,-3.19539879e-01
